time_id,year,month,quarter
202101,2021,1,1
202102,2021,2,1
202103,2021,3,1
202104,2021,4,2
202105,2021,5,2
202106,2021,6,2
202107,2021,7,3
202108,2021,8,3
202109,2021,9,3
202110,2021,10,4
202111,2021,11,4
202112,2021,12,4
202201,2022,1,1
202202,2022,2,1
202203,2022,3,1
202204,2022,4,2
202205,2022,5,2
202206,2022,6,2
202207,2022,7,3
202208,2022,8,3
202209,2022,9,3
202210,2022,10,4
202211,2022,11,4
202212,2022,12,4
202301,2023,1,1
202302,2023,2,1
202303,2023,3,1
202304,2023,4,2
202305,2023,5,2
202306,2023,6,2
202307,2023,7,3
202308,2023,8,3
202309,2023,9,3
202310,2023,10,4
202311,2023,11,4
202312,2023,12,4
202401,2024,1,1
202402,2024,2,1
202403,2024,3,1
202404,2024,4,2
202405,2024,5,2
202406,2024,6,2
202407,2024,7,3
202408,2024,8,3
202409,2024,9,3
202410,2024,10,4
202411,2024,11,4
202412,2024,12,4
