customer_id,branch_id,customer_segment,credit_score
1,BR04,D,725
2,BR14,B,731
3,BR09,A,695
4,BR07,C,717
5,BR02,B,731
6,BR02,C,683
7,BR01,A,779
8,BR12,C,836
9,BR07,B,728
10,BR09,B,733
11,BR01,D,441
12,BR14,B,780
13,BR11,C,604
14,BR03,C,712
15,BR02,A,627
16,BR02,C,684
17,BR04,B,703
18,BR06,C,705
19,BR05,C,720
20,BR03,B,647
21,BR08,B,758
22,BR02,C,599
23,BR03,C,686
24,BR04,C,762
25,BR05,A,338
26,BR10,C,706
27,BR02,B,656
28,BR06,C,783
29,BR07,A,706
30,BR01,B,658
31,BR07,C,739
32,BR02,B,698
33,BR01,D,801
34,BR14,C,781
35,BR14,D,787
36,BR10,B,637
37,BR04,A,605
38,BR01,C,746
39,BR09,B,804
40,BR05,B,732
41,BR02,C,731
42,BR06,C,714
43,BR01,A,802
44,BR13,C,818
45,BR03,B,597
46,BR08,C,713
47,BR04,B,640
48,BR06,B,355
49,BR07,C,382
50,BR02,C,605
51,BR14,B,548
52,BR10,C,735
53,BR13,B,449
54,BR12,D,802
55,BR07,C,782
56,BR13,C,815
57,BR01,B,699
58,BR02,B,661
59,BR01,B,632
60,BR04,B,407
61,BR04,B,771
62,BR03,B,660
63,BR11,C,516
64,BR04,A,647
65,BR03,D,777
66,BR07,A,624
67,BR02,D,663
68,BR10,D,732
69,BR01,B,821
70,BR15,D,340
71,BR10,D,707
72,BR02,A,750
73,BR01,D,640
74,BR10,A,649
75,BR09,A,659
76,BR09,C,667
77,BR10,A,678
78,BR01,B,744
79,BR04,D,684
80,BR02,D,668
81,BR12,C,724
82,BR08,B,786
83,BR04,D,725
84,BR01,A,343
85,BR04,D,701
86,BR04,B,764
87,BR09,D,671
88,BR08,C,688
89,BR12,D,751
90,BR06,D,736
91,BR02,D,544
92,BR09,C,810
93,BR10,D,698
94,BR07,C,634
95,BR10,A,732
96,BR06,C,698
97,BR06,A,737
98,BR05,D,791
99,BR01,A,688
100,BR02,D,469
101,BR01,B,751
102,BR08,A,610
103,BR04,D,777
104,BR06,A,614
105,BR13,B,800
106,BR03,C,794
107,BR05,B,594
108,BR10,B,595
109,BR03,C,758
110,BR01,D,797
111,BR03,A,379
112,BR02,B,608
113,BR13,B,689
114,BR10,B,824
115,BR08,B,635
116,BR12,B,792
117,BR10,C,604
118,BR02,D,731
119,BR12,A,753
120,BR06,B,317
121,BR10,C,587
122,BR12,A,771
123,BR04,C,634
124,BR02,B,674
125,BR03,B,677
126,BR05,B,671
127,BR10,B,593
128,BR12,D,717
129,BR01,D,678
130,BR06,B,777
131,BR05,C,803
132,BR03,A,706
133,BR02,C,647
134,BR04,C,607
135,BR14,A,829
136,BR04,B,680
137,BR06,B,695
138,BR09,A,819
139,BR04,C,741
140,BR14,D,676
141,BR14,C,724
142,BR03,B,686
143,BR06,B,781
144,BR04,B,666
145,BR03,C,820
146,BR01,B,805
147,BR07,B,724
148,BR06,C,703
149,BR01,B,597
150,BR03,A,690
151,BR13,A,658
152,BR03,B,738
153,BR02,C,633
154,BR06,B,701
155,BR15,A,734
156,BR03,B,725
157,BR08,A,830
158,BR10,D,749
159,BR03,B,838
160,BR09,A,667
161,BR04,C,810
162,BR08,B,664
163,BR08,C,732
164,BR06,A,309
165,BR01,D,684
166,BR11,D,587
167,BR04,C,714
168,BR02,C,418
169,BR01,B,710
170,BR07,D,769
171,BR08,B,669
172,BR01,B,848
173,BR06,A,623
174,BR03,B,750
175,BR08,C,345
176,BR02,B,624
177,BR09,C,698
178,BR04,B,630
179,BR13,D,645
180,BR02,C,722
181,BR04,C,602
182,BR02,C,744
183,BR13,D,804
184,BR12,A,691
185,BR03,A,706
186,BR08,C,788
187,BR10,C,668
188,BR07,B,714
189,BR06,B,751
190,BR03,B,802
191,BR01,B,746
192,BR12,D,768
193,BR13,B,702
194,BR08,C,667
195,BR04,C,727
196,BR04,A,833
197,BR09,A,826
198,BR12,B,643
199,BR12,C,794
200,BR10,B,768
201,BR08,A,627
202,BR01,B,698
203,BR02,A,788
204,BR12,A,751
205,BR07,B,375
206,BR01,A,821
207,BR02,C,647
208,BR08,B,549
209,BR01,C,599
210,BR02,C,739
211,BR07,D,745
212,BR09,A,630
213,BR08,B,696
214,BR03,D,611
215,BR09,D,650
216,BR03,B,799
217,BR04,A,700
218,BR09,D,689
219,BR08,A,598
220,BR11,D,656
221,BR08,D,761
222,BR07,B,842
223,BR01,D,359
224,BR04,B,688
225,BR03,C,701
226,BR03,B,793
227,BR14,A,709
228,BR04,C,677
229,BR12,A,587
230,BR08,D,746
231,BR10,B,636
232,BR06,A,696
233,BR07,B,693
234,BR06,D,653
235,BR02,B,779
236,BR09,D,334
237,BR03,B,744
238,BR01,B,829
239,BR08,D,810
240,BR02,A,746
241,BR14,B,751
242,BR14,D,699
243,BR13,C,802
244,BR04,C,516
245,BR01,D,701
246,BR13,B,538
247,BR05,D,845
248,BR14,C,787
249,BR14,C,585
250,BR11,A,667
251,BR03,D,668
252,BR04,C,660
253,BR11,B,355
254,BR04,C,618
255,BR02,B,732
256,BR07,C,692
257,BR13,D,553
258,BR09,A,730
259,BR07,D,801
260,BR01,A,841
261,BR08,B,673
262,BR15,B,676
263,BR02,B,836
264,BR06,C,630
265,BR12,D,585
266,BR09,B,674
267,BR09,A,723
268,BR09,C,610
269,BR04,C,698
270,BR03,D,787
271,BR10,A,584
272,BR10,D,697
273,BR12,B,608
274,BR13,A,587
275,BR06,D,699
276,BR06,B,690
277,BR10,C,689
278,BR08,C,691
279,BR09,B,723
280,BR10,C,698
281,BR12,C,660
282,BR04,B,709
283,BR04,C,599
284,BR01,D,701
285,BR07,B,634
286,BR01,D,414
287,BR05,B,674
288,BR07,B,558
289,BR03,C,663
290,BR07,A,677
291,BR01,D,751
292,BR01,D,672
293,BR11,D,678
294,BR04,C,710
295,BR02,D,614
296,BR06,C,717
297,BR10,B,812
298,BR03,D,646
299,BR08,B,663
300,BR01,C,736
301,BR01,B,669
302,BR06,D,829
303,BR07,B,733
304,BR08,B,705
305,BR09,A,689
306,BR14,B,800
307,BR06,B,730
308,BR04,C,685
309,BR10,B,704
310,BR03,C,701
311,BR05,A,709
312,BR01,B,836
313,BR01,D,844
314,BR14,B,729
315,BR11,A,750
316,BR09,D,781
317,BR05,A,682
318,BR02,B,716
319,BR02,B,704
320,BR03,A,796
321,BR07,A,700
322,BR09,D,686
323,BR08,A,597
324,BR03,A,710
325,BR14,D,690
326,BR09,B,808
327,BR07,A,723
328,BR08,C,771
329,BR05,A,609
330,BR03,B,588
331,BR04,C,493
332,BR10,D,814
333,BR01,B,675
334,BR02,C,586
335,BR01,A,709
336,BR01,B,766
337,BR11,A,703
338,BR09,B,642
339,BR06,B,619
340,BR01,D,703
341,BR06,D,816
342,BR06,C,671
343,BR02,B,823
344,BR05,C,777
345,BR04,C,614
346,BR08,A,828
347,BR08,B,547
348,BR01,A,680
349,BR04,B,695
350,BR08,A,786
351,BR06,D,820
352,BR11,A,586
353,BR08,A,791
354,BR02,D,658
355,BR01,C,765
356,BR08,C,821
357,BR01,B,702
358,BR07,B,723
359,BR14,A,751
360,BR07,B,641
361,BR04,C,704
362,BR08,B,683
363,BR05,B,595
364,BR07,C,603
365,BR14,B,796
366,BR04,C,585
367,BR14,A,684
368,BR13,D,598
369,BR02,B,686
370,BR01,B,778
371,BR02,B,665
372,BR01,D,757
373,BR01,D,724
374,BR09,B,634
375,BR01,C,778
376,BR04,A,719
377,BR11,A,814
378,BR01,D,652
379,BR10,A,725
380,BR03,B,651
381,BR02,C,649
382,BR09,D,809
383,BR08,A,420
384,BR12,A,716
385,BR09,A,573
386,BR10,A,732
387,BR03,A,594
388,BR02,D,827
389,BR10,A,608
390,BR10,C,694
391,BR15,D,616
392,BR05,C,602
393,BR04,A,703
394,BR10,C,712
395,BR04,D,699
396,BR13,B,701
397,BR11,B,635
398,BR05,B,689
399,BR10,B,707
400,BR10,B,704
401,BR02,C,622
402,BR13,C,721
403,BR06,B,751
404,BR11,C,832
405,BR04,A,666
406,BR12,C,622
407,BR04,C,748
408,BR01,C,729
409,BR13,A,829
410,BR01,C,631
411,BR04,B,720
412,BR14,B,647
413,BR14,B,835
414,BR07,A,710
415,BR08,B,674
416,BR05,B,742
417,BR03,B,725
418,BR04,C,701
419,BR08,B,657
420,BR10,B,709
421,BR10,B,598
422,BR10,C,624
423,BR01,C,734
424,BR06,D,600
425,BR01,C,635
426,BR07,A,824
427,BR05,C,715
428,BR12,B,709
429,BR04,B,832
430,BR02,D,697
431,BR02,B,747
432,BR10,C,699
433,BR08,D,771
434,BR02,B,794
435,BR01,A,783
436,BR09,B,613
437,BR01,A,760
438,BR11,A,759
439,BR09,D,686
440,BR01,D,629
441,BR01,C,635
442,BR15,C,682
443,BR04,A,642
444,BR04,C,717
445,BR10,A,739
446,BR14,B,656
447,BR15,A,666
448,BR10,C,388
449,BR04,A,739
450,BR01,A,840
451,BR10,C,824
452,BR07,C,688
453,BR05,B,788
454,BR13,A,695
455,BR02,D,689
456,BR06,A,693
457,BR01,C,480
458,BR05,A,628
459,BR01,C,767
460,BR02,C,582
461,BR02,D,683
462,BR08,B,737
463,BR09,A,599
464,BR07,D,747
465,BR14,B,757
466,BR04,D,348
467,BR03,C,676
468,BR12,B,723
469,BR03,D,663
470,BR14,B,682
471,BR01,C,503
472,BR14,C,693
473,BR01,C,629
474,BR12,C,660
475,BR06,C,774
476,BR15,B,600
477,BR01,B,614
478,BR07,C,514
479,BR14,A,738
480,BR06,A,762
481,BR08,A,718
482,BR09,B,724
483,BR05,D,770
484,BR08,C,686
485,BR07,D,848
486,BR13,A,826
487,BR01,C,823
488,BR03,B,691
489,BR14,A,835
490,BR12,D,687
491,BR05,A,681
492,BR08,B,584
493,BR03,B,742
494,BR02,C,721
495,BR05,C,710
496,BR04,B,734
497,BR07,A,839
498,BR01,A,652
499,BR14,A,787
500,BR15,C,726
501,BR09,D,830
502,BR06,D,682
503,BR04,D,718
504,BR10,D,666
505,BR09,D,710
506,BR02,D,590
507,BR13,D,717
508,BR11,B,700
509,BR14,B,626
510,BR09,C,636
511,BR08,C,781
512,BR05,C,653
513,BR13,C,607
514,BR12,C,519
515,BR01,A,822
516,BR01,B,754
517,BR04,D,787
518,BR10,C,800
519,BR15,A,709
520,BR02,D,705
521,BR07,B,712
